open_time_utc,open,high,low,close,volume
2026-02-15 08:00:00+00:00,70793.99,70821.98,70781.58,70785.76,2.84791087
2026-02-15 08:01:00+00:00,70785.76,70872.23,70785.76,70858.06,3.6563219
2026-02-15 08:02:00+00:00,70858.05,70858.05,70787.72,70822.97,4.75301151
2026-02-15 08:03:00+00:00,70814.01,70864.0,70787.64,70814.71,2.21053086
2026-02-15 08:04:00+00:00,70814.7,70847.79,70806.0,70827.12,2.85460027
2026-02-15 08:05:00+00:00,70822.99,70883.64,70818.84,70877.61,4.07006338
2026-02-15 08:06:00+00:00,70878.67,70934.75,70856.11,70918.09,10.58323409
2026-02-15 08:07:00+00:00,70918.08,70941.65,70835.4,70885.08,4.80188147
2026-02-15 08:08:00+00:00,70888.43,70909.92,70827.13,70897.5,6.47635508
2026-02-15 08:09:00+00:00,70897.5,70897.5,70872.67,70875.93,1.91822759
2026-02-15 08:10:00+00:00,70875.93,70922.33,70873.51,70895.31,4.0939469
2026-02-15 08:11:00+00:00,70895.31,70895.31,70762.72,70802.26,2.31862537
2026-02-15 08:12:00+00:00,70802.27,70818.0,70745.07,70747.32,2.79160613
2026-02-15 08:13:00+00:00,70747.32,70754.91,70708.32,70743.96,4.14052148
2026-02-15 08:14:00+00:00,70743.95,70743.95,70700.2,70705.74,1.63262197
2026-02-15 08:15:00+00:00,70711.2,70753.99,70687.7,70752.95,3.6850162
2026-02-15 08:16:00+00:00,70752.95,70752.96,70717.8,70731.9,2.08397368
2026-02-15 08:17:00+00:00,70731.91,70739.72,70712.0,70736.04,1.00945343
2026-02-15 08:18:00+00:00,70736.03,70755.46,70727.76,70755.45,1.41837236
2026-02-15 08:19:00+00:00,70755.44,70796.0,70749.0,70793.08,2.23542858
2026-02-15 08:20:00+00:00,70793.08,70795.36,70756.74,70785.72,2.09633292
2026-02-15 08:21:00+00:00,70789.86,70794.97,70766.04,70777.45,1.36486445
2026-02-15 08:22:00+00:00,70777.45,70789.29,70748.46,70768.08,1.26298719
2026-02-15 08:23:00+00:00,70759.86,70772.31,70759.85,70759.85,0.79498476
2026-02-15 08:24:00+00:00,70756.74,70759.91,70744.24,70756.71,0.82099111
2026-02-15 08:25:00+00:00,70759.91,70759.92,70745.99,70746.0,0.30280114
2026-02-15 08:26:00+00:00,70745.99,70765.02,70682.22,70707.06,5.68933466
2026-02-15 08:27:00+00:00,70707.06,70715.19,70592.0,70613.87,14.10713854
2026-02-15 08:28:00+00:00,70613.87,70619.06,70553.88,70591.14,4.02028851
2026-02-15 08:29:00+00:00,70595.27,70595.27,70529.13,70533.62,3.92061971
2026-02-15 08:30:00+00:00,70533.61,70574.56,70484.55,70549.0,3.68666273
2026-02-15 08:31:00+00:00,70548.99,70548.99,70422.0,70422.0,4.03547404
2026-02-15 08:32:00+00:00,70421.81,70465.96,70239.99,70252.99,13.37387778
2026-02-15 08:33:00+00:00,70254.36,70264.07,70144.47,70263.02,8.50703325
2026-02-15 08:34:00+00:00,70263.02,70296.66,70235.58,70248.01,3.60167823
2026-02-15 08:35:00+00:00,70248.01,70256.05,70155.0,70155.0,7.31365471
2026-02-15 08:36:00+00:00,70153.39,70329.91,70152.31,70315.97,4.06673603
2026-02-15 08:37:00+00:00,70322.04,70326.17,70281.99,70300.99,3.7344563
2026-02-15 08:38:00+00:00,70298.93,70298.93,70212.29,70216.11,1.86705997
2026-02-15 08:39:00+00:00,70216.11,70247.52,70204.47,70222.67,2.04435473
2026-02-15 08:40:00+00:00,70222.67,70297.2,70222.67,70272.37,3.99627112
2026-02-15 08:41:00+00:00,70272.36,70311.99,70272.36,70300.0,2.41728339
2026-02-15 08:42:00+00:00,70295.66,70331.05,70286.39,70303.86,6.96284789
2026-02-15 08:43:00+00:00,70303.86,70312.0,70230.97,70247.58,2.59388819
2026-02-15 08:44:00+00:00,70247.58,70319.53,70247.58,70294.23,4.50791572
2026-02-15 08:45:00+00:00,70294.22,70308.0,70259.95,70287.99,3.36167027
