y,Spot-only,PM-only,Combined
1,0.72485888241152,0.7731090022312703,0.803768979394875
1,0.9623703230208933,0.3737958927244481,0.9515511961376936
0,0.004152692050853793,0.43428504220010977,0.007604921683465496
1,0.9197895693948528,0.647370730804212,0.8518589495998472
1,0.36946517877928836,0.7193619348193524,0.48713212457430954
1,0.03421349837700389,0.2890047999896216,0.021232510477660633
1,0.891718882067026,0.8106745353874628,0.9315633442470155
1,0.7373608496034366,0.47376106109216226,0.6381550648099366
0,0.4116621298024863,0.30500595000754716,0.46373242341171017
1,0.07797728515579232,0.7524049927188837,0.17147034804812866
0,0.03360078267859838,0.39620663373548054,0.04730447970209255
0,0.05871700293042353,0.6111576655043582,0.11768187413998538
1,0.7670982258485072,0.4343420212979836,0.7961646633497838
1,0.2687796445090332,0.2211844755647213,0.16404244234295828
1,0.176636626391377,0.33682249399925107,0.11064472383675719
1,0.4457723471608909,0.6714537158516685,0.3450632269451768
1,0.43104227167519193,0.1362940250058053,0.06847543584232055
0,0.1988091718375455,0.4636817109058578,0.15023281442013592
0,0.09581596900198527,0.5044066074592287,0.14259351635399878
1,0.01580243781795142,0.5339535757869742,0.01691110122416117
1,0.9513260349608736,0.24366185698878934,0.9295203253267043
0,0.3314959772230826,0.3012904439964857,0.3381289197751777
1,0.7245420531021588,0.44198374629520876,0.6470229054069859
0,0.5928866506258398,0.6176113926497487,0.7122259749733253
1,0.9691350827883681,0.5944099155934165,0.9813653014526239
0,0.2931440978993583,0.5936902161793098,0.31712650741826437
0,0.6121022708178666,0.4164843784728834,0.45943780468853057
1,0.17946379854316602,0.14078109829543317,0.0528471455374502
1,0.6681113939014184,0.4655595831643871,0.5977537586452959
1,0.4265537633540494,0.26835025532789863,0.29800665994012715
1,0.25617158715196686,0.46825007626303816,0.2446217825776713
0,0.17821493631622004,0.2853707946847682,0.109975306850874
0,0.1505552597940336,0.41521050753220795,0.1461752279896842
1,0.4306696018659881,0.59853605179042,0.44975690509324295
0,0.08185485194694031,0.4020066115765972,0.0776152639807509
1,0.03449752279643332,0.2858915371598516,0.02836630604665213
0,0.36770284438087547,0.5474703133321531,0.46197054444376945
0,0.3996464865062332,0.23681574556659915,0.2500584625944618
1,0.6963680534928957,0.5692832524281907,0.7953247320240577
1,0.6887533459203026,0.3227835174656992,0.6309960311447982
1,0.8736887995799256,0.5727020505370578,0.8293086039811668
1,0.6112064255687234,0.3837591821861658,0.5298485372309929
1,0.9856311440844513,0.699238871063709,0.9789121154105727
0,0.0576450397234137,0.66054223531309,0.0849713583334244
1,0.6034639026514869,0.7613098910513907,0.7202064855576804
1,0.9919081341186262,0.6587820204856948,0.9808052485630092
0,0.20402837011405514,0.2745972129661327,0.15071306927604222
1,0.06673840614275714,0.2029436946606541,0.08596497078119679
1,0.062386921093149396,0.38273412992263733,0.06759878050011
1,0.6086758037557618,0.40978069000912937,0.5146668723696739
0,0.04039268652279892,0.3311146156694543,0.03484238249024781
0,0.4845157056241691,0.599923468352003,0.6087906708132255
1,0.5444132204894064,0.5997310249803554,0.5261368542582163
0,0.5012089364983876,0.6953324018518493,0.5202475792708362
1,0.9981204603282426,0.6513832630525792,0.9983482331382703
1,0.6664866447187429,0.7036292648489142,0.7145876970778875
1,0.9006170367283696,0.5681637048662616,0.8750306903701488
0,0.8758320259126497,0.6869181430909665,0.8632860977369601
1,0.847878512473858,0.4444359898724112,0.8402956109298167
1,0.6604335096727463,0.5848694569055702,0.618832263811862
0,0.40712553376543353,0.5523147975338738,0.4872764606094307
0,0.4943599805226024,0.5074450652899869,0.5242088686683806
1,0.6518008642107522,0.65877430229942,0.6390449526358948
1,0.649894763429361,0.5979698174261194,0.5214324694174317
0,0.46934664264700143,0.46072162952075024,0.447789488547708
0,0.007653036106452015,0.058300385866331274,0.004138639114339053
0,0.06537559771492449,0.27295447431977354,0.11561004803621192
1,0.7120779082401789,0.6630077784887052,0.7828088554464926
1,0.5170141351384049,0.5012483240043538,0.4100474584484843
1,0.9579985740335218,0.42421615119971645,0.8454756804749023
0,0.2763385735674142,0.4971100715318132,0.31720828072250123
0,0.7464146049777867,0.1780258794816618,0.4811423478313767
1,0.40435802021533485,0.6913643281322244,0.4344107168998437
0,0.008291889227375192,0.5826509686254219,0.014701682125381626
1,0.594431159797473,0.619943929342206,0.7089759393933445
0,0.43514398469182913,0.207340031509178,0.27136667070489545
0,0.24248545425231569,0.5135162950203985,0.32614201891657846
1,0.9174883352087375,0.9172906520234905,0.9800980332467648
1,0.7817136329024927,0.7653489280348691,0.8552477402292719
1,0.7572244021992764,0.42768882956257165,0.7773696090036777
1,0.576347441340895,0.4213970046669805,0.44580917357223454
0,0.05489823968817452,0.5584353673842681,0.06870652178996194
1,0.3364355816240701,0.6751467134670829,0.46850572800094054
1,0.6777636126552029,0.7852179599858571,0.6950788609723223
0,0.21346140675762612,0.6837033776567762,0.1921891846149149
1,0.6139940752253326,0.7820706794678309,0.8515699353695629
0,0.6450933645858632,0.3091795977269179,0.5832657873330589
1,0.8766185891611827,0.6239917629183012,0.8655365489556218
1,0.8543277463612156,0.622172740645622,0.7957707186706356
1,0.41745354841196736,0.35418283485103635,0.245808388561195
1,0.4687292388409623,0.4732489734302472,0.3652898068820543
0,0.6603291363592307,0.25224704889364863,0.33728603849559213
0,0.23264548065134566,0.3938437252453332,0.23821398257103532
1,0.7903075428461869,0.7178851594946888,0.8734359438940956
1,0.3926928803096103,0.29347606581144753,0.22674060231980447
0,0.09257195838182071,0.4353612182008895,0.10421520743274176
1,0.7117711491271052,0.48909633372437805,0.7057964543075128
0,0.6999347413899276,0.7067402166489811,0.6525853180425709
0,0.04835808066843593,0.33032832547542895,0.04654289224514758
1,0.3601886513261827,0.19625516403902574,0.15530119034483084
1,0.6111910171950792,0.3665121747220443,0.43417182394052994
1,0.2816831295272319,0.559159729131347,0.31362338283244523
1,0.5720077811370353,0.6847667707860802,0.647259355085794
1,0.9991190134441196,0.6086376031219759,0.9990585948424354
1,0.6358034168667724,0.4406538117471141,0.5449315852660841
1,0.9845311452478721,0.5846597073043953,0.9799763604679198
1,0.9139188253383277,0.5487860153992697,0.8183161840226526
1,0.36854041588875497,0.6029147918861979,0.323562028093136
1,0.4613897059569589,0.5576538996955479,0.43452085699767584
0,0.9221634018246052,0.6614126509601529,0.9129017019184161
1,0.9121602549649488,0.6429508761854584,0.9337053314964673
1,0.8537306332908005,0.5862998690262077,0.8192340672571758
0,0.005970084545360367,0.5044494996930671,0.008533634199647063
1,0.9999815790589816,0.8592937125618182,0.9999539532178728
0,0.0975382399568304,0.6700035831949523,0.043014616458084715
1,0.10820395662156995,0.6759492255376733,0.0563291071391262
1,0.996785385753035,0.7450462556072155,0.9964950591491232
