open_key,target_btc,lr_proba
2026-02-23 21:15:00,0,0.3976709400145696
2026-02-23 21:30:00,1,0.7212568299185954
2026-02-23 21:45:00,1,0.7318317235412836
2026-02-23 22:00:00,1,0.271912934823764
2026-02-23 22:15:00,1,0.8326104404471112
2026-02-23 22:30:00,1,0.45776514773606025
2026-02-23 22:45:00,0,0.47695416432661736
2026-02-23 23:00:00,1,0.7660131330513814
2026-02-23 23:15:00,0,0.2920242461955645
2026-02-23 23:30:00,0,0.5967155550255354
2026-02-23 23:45:00,1,0.4140638842915194
2026-02-24 00:00:00,1,0.17236977227785177
2026-02-24 00:15:00,1,0.3412812547780233
2026-02-24 00:30:00,1,0.7264158687271942
2026-02-24 00:45:00,1,0.144784689035415
2026-02-24 01:00:00,0,0.5865383607120951
2026-02-24 01:15:00,0,0.5075642480710911
2026-02-24 01:30:00,1,0.5197861743561755
2026-02-24 01:45:00,1,0.21939962773918387
2026-02-24 02:00:00,0,0.34491929620550155
2026-02-24 02:15:00,1,0.3505426694435916
2026-02-24 02:30:00,0,0.6558957421578384
2026-02-24 02:45:00,1,0.6795355007511729
2026-02-24 03:00:00,0,0.555689319100495
2026-02-24 03:15:00,0,0.43872975367384354
2026-02-24 03:30:00,1,0.13830556691385018
2026-02-24 03:45:00,1,0.4262268870536494
2026-02-24 04:00:00,1,0.3352153341513973
2026-02-24 04:15:00,1,0.41405700685824726
2026-02-24 04:30:00,0,0.27356697063872726
2026-02-24 04:45:00,0,0.47866510992701855
2026-02-24 05:00:00,1,0.6465267876272673
2026-02-24 05:15:00,0,0.3095783887783545
2026-02-24 05:30:00,1,0.37849177227057634
2026-02-24 05:45:00,0,0.580546836644264
2026-02-24 06:00:00,0,0.304765667625552
2026-02-24 06:15:00,1,0.5399028393792562
2026-02-24 06:30:00,1,0.34645140461763496
2026-02-24 06:45:00,1,0.555943697918459
2026-02-24 07:00:00,1,0.40801899929624236
2026-02-24 07:15:00,1,0.5817700025690632
2026-02-24 07:30:00,0,0.5790712933250831
2026-02-24 07:45:00,1,0.8429015961922567
2026-02-24 08:00:00,1,0.6948977318444975
2026-02-24 08:15:00,0,0.3296938831201228
2026-02-24 08:30:00,1,0.3176195056996446
2026-02-24 08:45:00,1,0.26242306625173406
2026-02-24 09:00:00,1,0.4301345825600511
2026-02-24 09:15:00,0,0.3760101467280254
2026-02-24 09:30:00,0,0.6053383995680409
2026-02-24 09:45:00,1,0.6964189802163395
2026-02-24 10:00:00,0,0.6802537793129385
2026-02-24 10:15:00,1,0.6189654861557395
2026-02-24 10:30:00,1,0.6981892744696709
2026-02-24 10:45:00,1,0.5400682189773474
2026-02-24 11:00:00,0,0.6752414645863762
2026-02-24 11:15:00,1,0.40156821798698783
2026-02-24 11:30:00,1,0.6044055147386689
2026-02-24 11:45:00,0,0.5839571788440485
2026-02-24 12:00:00,0,0.5363736716025267
2026-02-24 12:15:00,1,0.716221931379978
2026-02-24 12:30:00,1,0.5842975768250271
2026-02-24 12:45:00,0,0.61644749169193
2026-02-24 13:00:00,0,0.04763875627655461
2026-02-24 13:15:00,0,0.28681071815966075
2026-02-24 13:30:00,1,0.7470760493646885
2026-02-24 13:45:00,1,0.5089543503826384
2026-02-24 14:00:00,1,0.49790258845970364
2026-02-24 14:15:00,0,0.3195462826720945
2026-02-24 14:30:00,0,0.21939580482905105
2026-02-24 14:45:00,1,0.7236849588556364
2026-02-24 15:00:00,0,0.46034126541974824
2026-02-24 15:15:00,1,0.6137573237228725
2026-02-24 15:30:00,0,0.20491237116104916
2026-02-24 15:45:00,0,0.4010652786603952
2026-02-24 21:45:00,1,0.9114847576139525
2026-02-24 22:00:00,1,0.7259993050743221
2026-02-24 22:15:00,1,0.3964447988057458
2026-02-24 22:30:00,1,0.4437164901440061
2026-02-24 22:45:00,0,0.5399607607725557
2026-02-24 23:00:00,1,0.7091093932665973
2026-02-24 23:15:00,1,0.7877586154369142
2026-02-24 23:30:00,0,0.7340807741585109
2026-02-24 23:45:00,1,0.7759876329777818
2026-02-25 00:00:00,0,0.2645781026257874
2026-02-25 00:15:00,1,0.5918101185619982
2026-02-25 00:30:00,1,0.6477090945707636
2026-02-25 00:45:00,1,0.41210880462521066
2026-02-25 01:00:00,1,0.4503470605877478
2026-02-25 01:15:00,0,0.23554152096580958
2026-02-25 01:30:00,0,0.4027774138701691
2026-02-25 01:45:00,1,0.7152022930475465
2026-02-25 02:00:00,1,0.31115774910059846
2026-02-25 02:15:00,0,0.4428590825396131
2026-02-25 02:30:00,1,0.5197331622746223
2026-02-25 02:45:00,0,0.696209290123566
2026-02-25 03:00:00,0,0.40357678298389144
2026-02-25 03:15:00,1,0.18706463370777923
2026-02-25 03:30:00,1,0.39562408130386334
2026-02-25 03:45:00,1,0.5161367902707298
2026-02-25 04:00:00,1,0.6876805164729822
2026-02-25 04:15:00,1,0.5301137728390664
2026-02-25 04:30:00,1,0.43029459003352555
2026-02-25 04:45:00,1,0.5441837564975799
2026-02-25 05:00:00,1,0.7158840964818945
2026-02-25 05:15:00,1,0.5609285945109905
2026-02-25 05:30:00,1,0.5008370590761508
2026-02-25 05:45:00,0,0.7789164788982536
2026-02-25 06:00:00,1,0.698038822874285
2026-02-25 06:15:00,1,0.556104854509131
2026-02-25 06:30:00,0,0.5181315491025971
2026-02-25 06:45:00,1,0.8683129945368783
2026-02-25 07:00:00,0,0.719529062849945
2026-02-25 07:15:00,1,0.6708447919655711
2026-02-25 07:30:00,1,0.7660726773393939
2026-02-25 07:45:00,0,0.5408771119925145
2026-02-25 08:00:00,1,0.7606868819687509
2026-02-25 08:15:00,1,0.7151199071401942
2026-02-25 08:30:00,1,0.5569861718826727
2026-02-25 08:45:00,1,0.7418851336104498
2026-02-25 09:00:00,1,0.6419185786670264
2026-02-25 09:15:00,1,0.4356327065024496
2026-02-25 09:30:00,1,0.3969205013165776
2026-02-25 09:45:00,0,0.6569536694672711
2026-02-25 10:00:00,1,0.19937936472775622
2026-02-25 10:15:00,1,0.4749914671280232
2026-02-25 10:30:00,1,0.35555225371953303
2026-02-25 10:45:00,0,0.2661189865238968
2026-02-25 11:00:00,0,0.3644382928333844
2026-02-25 11:15:00,1,0.7333339499793025
2026-02-25 11:30:00,0,0.25882055293281264
2026-02-25 11:45:00,1,0.5717523190696603
2026-02-25 12:00:00,0,0.6898844323805072
2026-02-25 12:15:00,1,0.6716232522575698
2026-02-25 12:30:00,1,0.5829285900840824
2026-02-25 12:45:00,1,0.7028781044776974
2026-02-25 13:00:00,0,0.5843029567417416
2026-02-25 13:15:00,0,0.5263240094273053
2026-02-25 13:30:00,1,0.5922294237747886
2026-02-25 13:45:00,0,0.24450215891714835
2026-02-25 14:00:00,1,0.7986757480503144
2026-02-25 14:15:00,0,0.2530022940230644
2026-02-25 14:30:00,0,0.47463885626761665
2026-02-25 14:45:00,1,0.5678160605589385
2026-02-25 15:00:00,1,0.2517244272331375
2026-02-25 15:15:00,0,0.4557451445022369
2026-02-25 15:30:00,0,0.2599674813690985
2026-02-25 15:45:00,1,0.6874724756717925
2026-02-25 16:00:00,1,0.2831664922430457
2026-02-25 16:15:00,1,0.6362961444297215
2026-02-25 16:30:00,0,0.5747524425247146
2026-02-25 16:45:00,1,0.5977990226890006
2026-02-25 17:00:00,1,0.32901486976713606
2026-02-25 17:15:00,0,0.5286031219361077
2026-02-25 17:30:00,1,0.233632645237908
2026-02-25 17:45:00,0,0.1731164059288358
2026-02-25 18:00:00,0,0.30103173622063567
2026-02-25 18:15:00,1,0.9186681567410792
2026-02-25 18:30:00,1,0.7111820148019011
2026-02-25 18:45:00,1,0.5953333245937144
2026-02-25 19:00:00,0,0.45294436353686957
2026-02-25 19:15:00,0,0.621828119035487
2026-02-25 19:30:00,1,0.680788794642985
2026-02-25 19:45:00,0,0.5626093632203975
2026-02-25 20:00:00,1,0.6356029160116081
2026-02-25 20:15:00,1,0.7614328034407275
2026-02-25 20:30:00,1,0.786222752828625
2026-02-25 20:45:00,0,0.38352306337230774
2026-02-25 21:00:00,0,0.405148474429958
2026-02-25 21:15:00,1,0.2774319056708712
2026-02-25 21:30:00,1,0.3797645884845165
2026-02-25 21:45:00,1,0.6438654467891415
2026-02-25 22:00:00,1,0.20361343042790406
2026-02-25 22:15:00,0,0.3837823633412574
2026-02-25 22:30:00,0,0.1815238364908111
2026-03-11 14:00:00,0,0.8891796945764451
2026-03-11 14:15:00,1,0.5610488372713417
2026-03-11 14:30:00,1,0.8100490648688862
2026-03-11 14:45:00,1,0.39819604901833494
2026-03-11 15:00:00,1,0.31013284022088383
2026-03-11 15:15:00,0,0.289221427308592
2026-03-11 15:30:00,0,0.41162284247363345
2026-03-11 15:45:00,0,0.5837364226108053
2026-03-11 16:00:00,1,0.7981357745092174
2026-03-11 16:15:00,0,0.16409435118255208
2026-03-11 16:30:00,0,0.4133482492282196
2026-03-11 16:45:00,0,0.40475798047935985
2026-03-11 17:00:00,1,0.6271332069466293
2026-03-11 17:15:00,1,0.3660158668975281
2026-03-11 17:30:00,0,0.16686472297216265
2026-03-11 17:45:00,0,0.4919203771086376
2026-03-11 18:00:00,0,0.2048138547171184
2026-03-11 18:15:00,1,0.651013490898424
2026-03-11 18:30:00,0,0.3688277452611783
2026-03-11 18:45:00,0,0.4422121292776919
2026-03-11 19:00:00,0,0.3483868854598379
2026-03-11 19:15:00,0,0.45180335521214443
2026-03-11 19:30:00,0,0.34869095454821536
2026-03-11 19:45:00,0,0.677864474198881
2026-03-11 20:00:00,1,0.71931365619389
2026-03-11 20:15:00,1,0.6857674204872088
2026-03-11 20:30:00,1,0.5869864994323668
2026-03-11 20:45:00,0,0.14248287289887054
2026-03-11 21:00:00,1,0.8100600815966515
2026-03-11 21:15:00,0,0.4250060483780635
2026-03-11 21:30:00,0,0.40495419981266406
2026-03-11 21:45:00,0,0.3683554102946477
2026-03-11 22:00:00,0,0.4292462182642589
2026-03-11 22:15:00,0,0.6237482166237346
2026-03-11 22:30:00,1,0.8082611911225224
2026-03-11 22:45:00,0,0.9661804328185013
2026-03-12 02:00:00,0,0.9712958553146037
2026-03-12 02:15:00,1,0.9686258988000608
2026-03-12 02:30:00,1,0.9891915878508218
2026-03-12 02:45:00,0,0.8869098388439275
2026-03-12 03:00:00,0,0.9724000544615425
2026-03-12 03:15:00,1,0.9756812369409341
2026-03-12 03:30:00,1,0.9933564235936505
2026-03-12 03:45:00,1,0.9861330821305687
2026-03-12 04:00:00,0,0.9751253357522054
2026-03-12 04:15:00,1,0.9841322062646881
2026-03-12 04:30:00,1,0.9742374172241568
2026-03-12 04:45:00,0,0.9699952788883878
2026-03-12 05:00:00,0,0.955995447845506
2026-03-12 05:15:00,1,0.9841373279690888
2026-03-12 05:30:00,1,0.9498469344720252
2026-03-12 05:45:00,0,0.9819409295379873
2026-03-12 06:00:00,1,0.9776342802960065
2026-03-12 06:15:00,0,0.9016003833573237
2026-03-12 06:30:00,1,0.9590143144280763
2026-03-12 06:45:00,0,0.8458467692581548
2026-03-12 07:00:00,1,0.9970062650656178
2026-03-12 07:15:00,0,0.9930142075521192
2026-03-12 07:30:00,0,0.8931996254533145
2026-03-12 07:45:00,1,0.9946555246257228
2026-03-12 08:00:00,1,0.9844511523398733
2026-03-12 08:15:00,1,0.9845966867769118
2026-03-12 08:30:00,1,0.9518850751459
2026-03-12 08:45:00,0,0.978485868354983
2026-03-12 09:00:00,0,0.9732908864507148
2026-03-12 09:15:00,0,0.994659512918484
2026-03-12 09:30:00,1,0.98878892359348
2026-03-12 09:45:00,0,0.9345367857970911
2026-03-12 10:00:00,1,0.9868041268866511
2026-03-12 10:15:00,0,0.9509951310809641
2026-03-12 10:30:00,1,0.9932321119538206
2026-03-12 10:45:00,0,0.9436657279618187
2026-03-12 11:00:00,0,0.984559721802846
2026-03-12 11:15:00,0,0.980442544954329
2026-03-12 11:30:00,0,0.9913018462285804
2026-03-12 11:45:00,0,0.9640326962903685
2026-03-12 12:00:00,1,0.9923368872426863
2026-03-12 12:15:00,1,0.9928533224222285
2026-03-12 12:30:00,1,0.9934520699150748
2026-03-12 12:45:00,1,0.9688878656573654
